机构全称,机构简称,详细地址,联系人,联系电话,电子邮箱,机构网站
上海欣旋企业管理咨询有限公司,上海欣旋PMP培训,上海市天目西路218号嘉里不夜城第1座810室 ,徐惠兰,021-32160778、32160779、32160799、63811169 ,sales@shxinxuan.cn ,http://www.shxinxuan.cn
上海中智国际教育培训中心,上海中智,上海市徐汇区漕溪北路88号圣爱大厦11楼F,方文怡,13501616631,null,null
深圳市伯瑞恒睿企业管理咨询有限公司,伯瑞环球,深圳市南山区科技园尚美科技大厦1706,陈老师,18219522794,boray@brhq.org,http://www.brhq.org.cn/
深圳市才聚管理咨询有限公司,深圳才聚、东莞才聚、珠海才聚,深圳市南山区科技园高新南一道中国科技开发院孵化大楼六楼608,孙老师,400 1628 768,sunnypmp@sztc.org,http://www.chinacaiju.org/
深圳市才聚管理咨询有限公司广州分公司,广州才聚-天河区,广东省广州市天河区体育东路122号羊城国际商贸中心西塔25楼D09房,林妙铃,13925245332,1533165620@qq.com,http://www.chinacaiju.org/
深圳市华夏智诚企业管理咨询有限公司,华夏智诚,深圳市南山区科技园科苑北路迅美科技广场3号楼3楼,于燕妮,400-638-0878、13691897227,yanni_688@163.com,www.huaxiapmp.com
深圳市世纪卓越管理咨询有限公司,世纪卓越,深圳市南山区金三角大厦11楼,周明俐,0755-86613200  13554832540 ,gdpmp@126.com   pmpservice@126.com,www.sjzy.org
深圳市问道兴业管理咨询有限公司,问道兴业,深圳市南山区粤海街道大冲一路华润置地大厦E座27楼C28,李老师,0755-21017709,service@road-shine.cn,www.road-shine.cn
深圳市中鹏教育科技股份有限公司,深圳市中鹏教育科技股份有限公司,深圳市龙岗区龙岗大道3020号湖广通创业大厦4楼401-410,陈梅娟,0755-83363558,meijuan.chen@zppx.net,http://www.gdzp.org
沈阳鼎奇人力资源服务有限公司,沈阳鼎奇,辽宁省沈阳市沈河区哈尔滨路128-1号1-22-17,刘老师,18602421022,pmp@syites.com,http://syites.com/
沈阳惠尔智业教育培训中心,沈阳惠尔智业,中国辽宁省沈阳市沈河区北站二路11号新地中心2号楼1111-1112室,齐老师；焦老师；谷老师,024-22722878；024-22728789；18240007536；18640368145,info@hrzy.org,www.hrzy.org / www.chinalnpmp.com 
铁人学院,大庆油田,黑龙江省大庆市让胡路区西静路110号铁人学院焊培校区,薛冰,0459-5089572,xuebingdq@163.com,null
武汉爱迪泰管理咨询有限公司,武汉爱迪泰,武汉市东湖开发区光谷世界城广场1号写字楼2006室,曹娟娟,13006367484,wuhanpmp@163.com,www.chnpmp.cn
厦门市培因教育培训中心,厦门培因,厦门市厦禾路820号帝豪大厦1203B单元,谢老师,0592-5166166 18965851958,paying@vip.163.com,www.peiin.com
厦门外服人力资源服务有限公司,厦门外服人力,厦门市思明区湖滨北路78号兴业大厦19楼,赵峰， 刘宇光,"0592-2386721, 5111251",zp5111251@163.com,www.xmfesco.com
新疆福来威尔企业管理咨询有限公司,新疆,新疆乌鲁木齐市新华北路47号政协巷56号汇丰大厦21楼B座,施宽利,0991-2321000,shikuanli9@163.com,www.yecxj.com
益可（天津）管理咨询有限公司,益可天津,学府工业区才智道35号海澜德产业园9号楼308室,胡振颖,13389937351,training@yikerenli.com,null
中国兵器工业集团人才研究中心,中国兵器人才研究院,北京市丰台区南四环西路188号三区26号楼,马迎舟,010-56993036,zgbqrcyjy@163.com,null
中国航天科工集团公司培训中心,中国航天科工集团公司培训中心,北京市海淀区玉泉路15号甲,李庆杰,010-68387533,liqingjie1974@sina.com,www.pxzx.casic.cn
中国石油大学（北京）网络与继续教育学院,石油培训,北京市昌平区府学路18号,董刚,010-89733216,fz@cup.edu.cn,www.cup.edu.cn/cec
中国石油管道学院（河北石油职业技术学院）,石油管道学院,河北省廊坊市爱民西道90号,殷生斗（课程）卫明（考务）,"0316-2070581, 13731616975（殷），13731622604（卫）",pmpgdxy@163.com,null
中国通信建设集团设计院有限公司,中国通信建设,北京市丰台区南方庄甲56号北京通建大厦,秦廷奎,18969100789,qintk.zgtj@chinaccs.cn,www.citcc.cn
中通信息服务有限公司,中通信息,广东省深圳市福田区滨河大道9023号国通大厦28楼,尧归,null,null,null
中智优力管理咨询（北京）有限公司,中智优力,北京市海淀区蓝靛厂南路25号1幢8层08-1号,闫敏斐,18513117965,null,null
重庆市高博职业培训学校,重庆高博培训,重庆市渝中区北区路26号富城大厦A栋14F(近2号线黄花园地铁站，一号桥公交站）,黄霞,13101210903，023-63519776,1769733540@qq.com,http://www.globelledu.com/
